"id","edgelabel","id_fromlookupform","id_tolookupform","id_publisher","publisher","id_service","service","id_genericform","genericform","id_tradition","tradition"
2,"has generic form",115126,591889,NULL,NULL,NULL,NULL,591889,"Cup",NULL,NULL
3,"has generic form",591889,662716,NULL,NULL,NULL,NULL,662716,"Cup Rouletted",NULL,NULL
5,"has generic form",179407,776552,NULL,NULL,NULL,NULL,776552,"Bowl",NULL,NULL
6,"has generic form",117509,776552,NULL,NULL,NULL,NULL,776552,"Bowl",NULL,NULL
8,"has generic form",5,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
10,"has generic form",7,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
11,"has generic form",6,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
13,"has generic form",9,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
19,"has generic form",14,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
21,"has generic form",1,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
23,"has generic form",320733,107901,NULL,NULL,NULL,NULL,107901,"Bottle",NULL,NULL
25,"has generic form",15,591889,NULL,NULL,NULL,NULL,591889,"Cup",NULL,NULL
26,"has generic form",15,662716,NULL,NULL,NULL,NULL,662716,"Cup Rouletted",NULL,NULL
27,"has generic form",22,117509,NULL,NULL,NULL,NULL,117509,"Bowl Decorated",NULL,NULL
28,"has generic form",22,776552,NULL,NULL,NULL,NULL,776552,"Bowl",NULL,NULL
29,"has generic form",23,127029,NULL,NULL,NULL,NULL,127029,"Cylinder Decorated",NULL,NULL
31,"has generic form",11,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
33,"has generic form",729940,193689,NULL,NULL,NULL,NULL,193689,"Chalice",NULL,NULL
34,"has generic form",74,591889,NULL,NULL,NULL,NULL,591889,"Cup",NULL,NULL
35,"has generic form",20,591889,NULL,NULL,NULL,NULL,591889,"Cup",NULL,NULL
37,"has generic form",17,591889,NULL,NULL,NULL,NULL,591889,"Cup",NULL,NULL
38,"has generic form",41,591889,NULL,NULL,NULL,NULL,591889,"Cup",NULL,NULL
39,"has generic form",29,591889,NULL,NULL,NULL,NULL,591889,"Cup",NULL,NULL
41,"has generic form",76,591889,NULL,NULL,NULL,NULL,591889,"Cup",NULL,NULL
43,"has generic form",38,591889,NULL,NULL,NULL,NULL,591889,"Cup",NULL,NULL
45,"has generic form",75,591889,NULL,NULL,NULL,NULL,591889,"Cup",NULL,NULL
46,"has generic form",83,591889,NULL,NULL,NULL,NULL,591889,"Cup",NULL,NULL
47,"has generic form",26,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
48,"has generic form",2,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
49,"has generic form",21,776552,NULL,NULL,NULL,NULL,776552,"Bowl",NULL,NULL
50,"has generic form",21,117509,NULL,NULL,NULL,NULL,117509,"Bowl Decorated",NULL,NULL
51,"has generic form",59,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
52,"has generic form",60,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
53,"has generic form",65,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
55,"has generic form",81,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
56,"has generic form",191,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
58,"has generic form",192,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
59,"has generic form",61,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
60,"has generic form",79,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
61,"has generic form",68,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
62,"has generic form",63,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
63,"has generic form",49,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
64,"has generic form",69,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
67,"has generic form",43,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
68,"has generic form",180,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
69,"has generic form",24,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
71,"has generic form",193,174619,NULL,NULL,NULL,NULL,174619,"Dish",NULL,NULL
